NO_TONES,DEV,DEV_TYPE,DEV_LOC,ISI,FREQ,FREQ_TYPE,FREQ_LOC,RUN_NO
7,17,late,5,700,0,standard,0,1
7,11,late,5,700,0,standard,0,1
7,266,early,6,700,1238,lower,5,1
7,27,late,6,700,1277,higher,5,1
7,32,late,5,700,1358,lower,4,1
7,90,late,5,700,1200,lower,4,1
7,53,early,4,700,1200,lower,5,1
7,83,late,6,700,1238,lower,4,1
7,138,late,4,700,1238,lower,5,1
7,141,early,5,700,1238,lower,6,1
7,1,late,5,700,1277,lower,6,1
7,4,late,6,700,1200,lower,5,1
7,222,late,4,700,1358,lower,6,1
7,211,early,4,700,0,standard,0,1
7,3,early,5,700,1200,higher,6,1
7,1,early,4,700,1200,higher,6,1
7,83,early,4,700,1277,lower,6,1
7,164,early,4,700,1200,higher,5,1
7,116,early,4,700,1317,higher,5,1
7,169,late,4,700,1317,higher,5,1
7,211,early,6,700,1358,lower,5,1
7,53,early,5,700,1238,higher,4,1
7,222,late,5,700,1317,higher,6,1
7,213,late,4,700,1200,lower,5,1
7,7,late,6,700,1277,lower,4,1
7,16,early,4,700,1317,lower,6,1
7,21,late,4,700,1200,lower,5,1
7,6,early,5,700,1317,higher,4,1
7,107,early,6,700,1200,higher,4,1
7,45,early,6,700,1238,higher,5,1
7,83,late,4,700,1277,higher,6,1
7,276,early,4,700,1317,lower,6,1
7,63,late,4,700,1238,lower,6,1
7,16,late,6,700,1238,higher,4,1
7,11,early,6,700,1358,higher,5,1
7,1,early,5,700,1200,higher,4,1
7,151,early,4,700,1200,higher,6,1
7,164,early,4,700,1317,higher,6,1
7,116,early,6,700,1317,higher,4,1
7,138,late,5,700,1200,higher,4,1
7,164,early,4,700,1277,lower,5,1
7,232,late,6,700,1238,lower,4,1
7,58,late,5,700,1358,lower,4,1
7,213,late,4,700,1277,lower,5,1
7,45,late,4,700,1238,lower,5,1
7,1,early,6,700,1358,higher,4,1
7,45,late,5,700,1317,higher,6,1
7,1,early,4,700,1358,lower,6,1
7,179,late,4,700,1358,lower,5,1
7,1,early,4,700,1238,higher,5,1
7,10,late,6,700,1317,higher,4,1
7,58,early,6,700,1238,lower,5,1
7,170,early,4,700,1238,higher,5,1
7,25,late,5,700,1200,lower,6,1
7,19,late,4,700,1317,higher,5,1
7,25,early,5,700,1200,higher,6,1
7,5,early,6,700,1358,higher,4,1
7,107,late,5,700,1317,lower,6,1
7,195,late,6,700,1238,higher,4,1
7,127,late,6,700,1238,lower,5,1
7,3,late,5,700,1200,higher,6,1
7,2,late,4,700,1277,lower,5,1
7,12,late,6,700,1358,higher,4,1
7,98,early,5,700,1200,higher,4,1
7,102,early,5,700,1317,higher,4,1
7,1,early,6,700,1200,lower,4,1
7,127,early,4,700,1200,lower,6,1
7,29,early,6,700,1238,lower,4,1
7,216,early,5,700,1238,lower,4,1
7,131,late,6,700,1358,lower,5,1
7,127,late,6,700,1277,lower,4,1
7,198,late,4,700,1277,lower,5,1
7,164,early,6,700,1358,lower,5,1
7,61,early,5,700,1277,higher,4,1
7,216,late,6,700,1317,higher,5,1
7,61,late,5,700,1200,lower,6,1
7,82,early,6,700,1238,lower,4,1
7,7,early,6,700,1358,lower,4,1
7,213,late,4,700,1238,higher,6,1
7,63,early,4,700,1358,lower,6,1
7,198,late,5,700,1317,higher,6,1
7,256,early,5,700,1238,higher,6,1
7,169,early,5,700,1317,higher,6,1
