NO_TONES,DEV,DEV_TYPE,DEV_LOC,ISI,FREQ,FREQ_TYPE,FREQ_LOC,RUN_NO
7,138,late,6,700,1200,higher,4,1
7,48,early,6,700,1317,lower,5,1
7,153,late,4,700,1358,lower,6,1
7,38,late,4,700,1277,lower,6,1
7,156,early,6,700,1277,higher,4,1
7,6,early,6,700,1317,lower,4,1
7,9,late,5,700,1200,higher,4,1
7,41,early,6,700,1200,lower,4,1
7,11,late,5,700,1200,higher,6,1
7,127,late,4,700,1277,lower,5,1
7,247,late,6,700,1238,higher,4,1
7,3,late,4,700,1238,lower,5,1
7,4,late,5,700,1277,lower,4,1
7,38,late,5,700,1358,lower,6,1
7,13,late,5,700,1200,lower,4,1
7,19,late,5,700,1277,higher,4,1
7,2,early,5,700,1317,higher,4,1
7,8,early,6,700,1317,higher,4,1
7,239,late,6,700,1238,higher,4,1
7,22,late,4,700,1317,higher,5,1
7,116,late,5,700,1238,higher,6,1
7,138,early,5,700,1317,higher,4,1
7,10,late,4,700,1277,higher,5,1
7,49,late,5,700,1317,lower,6,1
7,38,late,5,700,1317,lower,6,1
7,82,early,4,700,1200,higher,5,1
7,164,late,4,700,1317,higher,5,1
7,90,late,4,700,1200,higher,5,1
7,38,late,5,700,1277,lower,4,1
7,38,early,4,700,1277,higher,5,1
7,96,late,6,700,1358,higher,5,1
7,19,early,6,700,1317,lower,4,1
7,95,late,6,700,1200,higher,4,1
7,214,late,5,700,1358,lower,6,1
7,75,early,5,700,1200,lower,6,1
7,90,late,5,700,1200,higher,4,1
7,151,late,6,700,1317,lower,4,1
7,98,early,4,700,1238,higher,5,1
7,75,early,4,700,1358,higher,5,1
7,35,early,5,700,1238,higher,6,1
7,151,late,4,700,1317,higher,6,1
7,13,late,4,700,1200,higher,6,1
7,287,early,6,700,1238,higher,4,1
7,9,late,4,700,1277,lower,6,1
7,41,early,6,700,0,standard,0,1
7,29,late,6,700,1358,lower,5,1
7,138,early,4,700,1358,lower,6,1
7,153,early,5,700,1200,lower,6,1
7,8,late,5,700,1277,higher,4,1
7,15,early,5,700,1358,higher,6,1
7,16,late,5,700,1277,higher,6,1
7,82,late,4,700,1238,higher,6,1
7,179,late,4,700,1238,higher,5,1
7,45,early,5,700,1358,lower,4,1
7,48,late,4,700,1277,lower,6,1
7,276,early,6,700,1277,higher,5,1
7,232,late,6,700,1277,higher,4,1
7,49,late,6,700,1277,lower,4,1
7,287,early,4,700,1238,higher,6,1
7,53,early,4,700,1277,lower,5,1
7,12,early,5,700,1317,lower,4,1
7,156,late,6,700,1317,lower,4,1
7,48,early,4,700,1238,lower,5,1
7,13,late,5,700,1277,higher,4,1
7,15,late,6,700,1277,lower,5,1
7,127,late,6,700,1238,higher,4,1
7,53,late,5,700,1238,lower,4,1
7,214,early,6,700,1358,higher,4,1
7,29,early,6,700,1317,lower,4,1
7,2,early,6,700,1238,higher,5,1
7,287,late,6,700,1317,higher,4,1
7,196,early,6,700,1200,lower,4,1
7,95,late,4,700,1358,lower,6,1
7,63,late,5,700,1317,lower,6,1
7,138,early,5,700,1238,lower,4,1
7,5,early,5,700,1200,higher,6,1
7,127,late,6,700,1277,lower,5,1
7,232,late,4,700,1277,higher,5,1
7,82,late,6,700,1200,higher,5,1
7,41,late,4,700,1238,higher,5,1
7,58,late,5,700,1358,higher,4,1
7,38,late,4,700,1277,higher,6,1
7,8,late,5,700,1200,higher,6,1
7,53,early,6,700,1358,higher,4,1
7,17,late,6,700,1317,higher,4,1
7,76,late,6,700,1317,lower,5,1
7,9,late,5,700,1277,lower,4,1
7,8,late,5,700,1358,lower,4,1
7,195,late,6,700,1358,higher,4,1
7,13,early,6,700,1238,higher,4,1
7,13,late,5,700,1277,higher,6,1
7,27,early,6,700,1238,lower,5,1
7,287,late,6,700,1277,higher,5,1
7,138,late,5,700,1200,higher,6,1
7,19,late,5,700,1277,higher,6,1
7,76,late,6,700,1277,higher,5,1
7,247,late,5,700,1317,lower,4,1
7,27,early,4,700,1277,higher,6,1
7,96,early,4,700,1238,lower,5,1
7,69,late,5,700,1238,lower,6,1
7,48,late,6,700,1317,lower,5,1
7,4,early,6,700,1238,higher,5,1
7,98,late,6,700,1358,lower,5,1
7,12,early,6,700,1358,higher,5,1
7,7,early,5,700,1358,lower,4,1
7,13,late,5,700,1317,lower,6,1
7,213,late,4,700,1277,higher,6,1
7,127,early,5,700,1200,higher,6,1
7,45,early,6,700,1277,higher,5,1
7,10,late,6,700,1200,lower,5,1
7,21,early,5,700,1317,higher,4,1
7,6,late,4,700,1200,lower,6,1
7,45,late,4,700,1200,higher,5,1
7,292,early,5,700,1317,lower,4,1
7,120,late,4,700,1277,higher,6,1
7,213,late,5,700,1277,lower,4,1
7,25,late,5,700,1277,lower,4,1
7,151,late,6,700,1238,higher,5,1
7,4,early,5,700,1238,lower,4,1
7,63,early,5,700,1238,higher,4,1
7,107,late,6,700,1238,lower,5,1
7,276,late,6,700,1200,lower,4,1
7,213,late,4,700,1238,higher,5,1
7,153,early,4,700,1277,higher,6,1
7,10,early,5,700,1277,higher,6,1
7,32,late,6,700,1277,higher,5,1
7,239,late,5,700,1238,higher,6,1
7,94,early,5,700,1200,lower,6,1
7,27,early,4,700,1200,lower,5,1
7,21,late,4,700,1238,lower,6,1
7,1,late,4,700,1277,lower,6,1
7,16,early,5,700,1277,higher,4,1
7,17,late,6,700,1200,lower,5,2
7,94,late,4,700,1238,higher,6,2
7,2,early,6,700,1200,lower,5,2
7,179,early,4,700,1277,lower,5,2
7,25,early,4,700,1200,lower,5,2
7,38,early,4,700,1200,lower,6,2
7,6,late,4,700,1358,higher,5,2
7,29,early,5,700,1200,higher,6,2
7,35,early,6,700,1200,higher,4,2
7,76,late,4,700,1317,higher,5,2
7,5,late,6,700,1238,higher,4,2
7,48,late,6,700,1317,lower,5,2
7,21,late,4,700,1277,higher,6,2
7,156,late,4,700,1200,lower,6,2
7,17,early,4,700,1317,lower,6,2
7,9,early,5,700,1200,lower,6,2
7,76,early,5,700,1200,higher,4,2
7,232,early,4,700,1238,higher,6,2
7,29,early,4,700,1358,lower,6,2
7,195,late,5,700,1238,higher,6,2
7,82,early,4,700,1358,lower,5,2
7,156,late,5,700,1317,higher,4,2
7,0,on_time,0,700,1358,higher,4,2
7,12,late,4,700,1238,lower,5,2
7,239,late,6,700,1238,higher,5,2
7,287,late,5,700,1358,lower,4,2
7,164,early,6,700,1277,lower,5,2
7,82,early,6,700,1238,higher,5,2
7,179,early,6,700,1317,lower,5,2
7,16,late,5,700,1238,higher,4,2
7,10,early,6,700,1358,higher,5,2
7,10,late,5,700,1277,higher,4,2
7,32,late,5,700,1238,higher,4,2
7,96,early,4,700,1200,lower,6,2
7,11,early,5,700,1317,higher,4,2
7,253,late,4,700,1238,higher,5,2
7,35,late,4,700,1277,higher,5,2
7,7,early,6,700,1317,higher,4,2
7,98,early,6,700,1200,lower,4,2
7,58,early,6,700,1358,lower,5,2
7,253,late,6,700,1277,lower,4,2
7,6,early,6,700,1238,lower,5,2
7,138,early,5,700,0,standard,0,2
7,1,late,5,700,1277,higher,4,2
7,107,late,4,700,1277,lower,5,2
7,3,late,5,700,0,standard,0,2
7,276,early,4,700,1238,lower,5,2
7,16,late,4,700,1358,higher,5,2
7,214,late,6,700,1317,lower,4,2
7,94,late,6,700,1238,lower,4,2
7,4,late,5,700,1238,lower,4,2
7,21,early,6,700,1317,lower,5,2
7,21,early,4,700,1238,higher,5,2
7,17,late,4,700,1238,higher,5,2
7,9,early,4,700,1200,higher,6,2
7,49,early,5,700,1200,lower,4,2
7,98,late,6,700,1238,higher,4,2
7,12,late,6,700,1317,higher,4,2
7,17,late,6,700,1358,lower,4,2
7,151,late,5,700,1317,higher,4,2
7,96,early,4,700,1317,higher,6,2
7,120,late,5,700,1277,lower,4,2
7,164,late,5,700,1277,lower,6,2
7,6,early,4,700,1277,higher,5,2
7,6,late,4,700,1200,lower,6,2
7,179,late,5,700,1277,higher,4,2
7,96,early,4,700,1358,higher,5,2
7,116,late,5,700,1238,higher,4,2
