NO_TONES,DEV,DEV_TYPE,DEV_LOC,ISI,FREQ,FREQ_TYPE,FREQ_LOC,RUN_NO
7,10,late,5,700,1317,lower,6,1
7,85,early,6,700,1317,higher,4,1
7,27,late,5,700,1277,higher,6,1
7,38,late,6,700,1358,lower,4,1
7,138,early,4,700,1277,higher,5,1
7,58,late,4,700,1358,higher,6,1
7,168,early,4,700,1200,lower,5,1
7,168,early,6,700,1317,higher,5,1
7,6,early,4,700,1200,higher,6,1
7,7,late,6,700,1200,lower,5,1
7,22,early,6,700,0,standard,0,1
7,38,early,4,700,1317,higher,6,1
7,12,early,6,700,1317,lower,4,1
7,127,late,6,700,1317,higher,4,1
7,138,early,4,700,1200,lower,6,1
7,22,early,6,700,1277,higher,4,1
7,4,late,6,700,1200,higher,4,1
7,2,early,5,700,1238,lower,6,1
7,45,late,4,700,1238,lower,6,1
7,27,late,6,700,1317,lower,4,1
7,27,early,4,700,1200,higher,6,1
7,75,early,4,700,1358,lower,6,1
7,82,early,5,700,1238,higher,4,1
7,35,early,5,700,1277,lower,4,1
7,25,early,6,700,1238,lower,4,1
7,35,late,5,700,1317,lower,6,1
7,17,late,6,700,1200,higher,5,1
7,3,early,6,700,1200,higher,4,1
7,164,early,5,700,1358,lower,4,1
7,58,early,5,700,1317,lower,4,1
7,195,late,4,700,1200,lower,6,1
7,3,late,4,700,1238,lower,6,1
7,41,late,5,700,1317,higher,4,1
7,10,late,6,700,1238,higher,5,1
7,75,early,5,700,1238,higher,6,1
7,7,early,5,700,1317,lower,6,1
7,99,late,4,700,1238,lower,5,1
7,1,late,5,700,1277,higher,4,1
7,35,early,5,700,1358,lower,4,1
7,21,late,5,700,1200,higher,4,1
7,3,early,4,700,0,standard,0,1
7,9,late,5,700,1358,lower,4,1
7,90,early,6,700,1358,lower,4,1
7,98,early,6,700,1277,lower,4,1
7,35,early,6,700,1277,higher,5,1
7,37,late,5,700,1317,lower,6,1
7,38,early,5,700,1200,lower,6,1
7,207,early,5,700,1238,higher,6,1
7,4,early,5,700,1200,lower,6,1
7,207,early,6,700,1238,lower,4,1
7,10,late,5,700,1358,lower,6,1
7,69,late,6,700,1358,lower,4,1
7,1,early,4,700,1277,higher,5,1
7,1,early,6,700,1277,lower,4,1
7,248,late,4,700,1277,higher,5,1
7,195,late,6,700,1358,higher,4,1
7,248,early,6,700,1358,higher,5,1
7,82,early,4,700,1238,lower,6,1
7,10,late,5,700,1358,higher,6,1
7,41,early,6,700,1358,lower,4,1
7,58,late,6,700,1200,lower,5,1
