NO_TONES,DEV,DEV_TYPE,DEV_LOC,ISI,FREQ,FREQ_TYPE,FREQ_LOC,RUN_NO
7,82,late,5,700,1317,higher,6,1
7,179,late,6,700,1317,higher,5,1
7,5,early,4,700,1200,higher,5,1
7,19,late,4,700,1317,higher,6,1
7,228,late,6,700,1238,higher,4,1
7,17,late,5,700,1200,higher,4,1
7,151,early,5,700,1238,higher,4,1
7,58,late,4,700,1200,higher,6,1
7,15,early,6,700,1238,lower,4,1
7,196,early,6,700,1358,lower,4,1
7,127,late,4,700,1317,lower,5,1
7,8,late,6,700,1358,lower,5,1
7,292,late,4,700,1238,lower,5,1
7,4,late,6,700,1238,lower,4,1
7,82,early,5,700,1200,higher,6,1
7,4,late,5,700,1277,lower,4,1
7,208,early,4,700,1200,higher,6,1
7,179,early,5,700,1277,lower,6,1
7,111,late,5,700,1317,higher,6,1
7,124,late,4,700,1317,higher,6,1
7,58,late,6,700,1317,lower,4,1
7,164,early,6,700,1200,lower,5,1
7,292,early,5,700,1277,lower,4,1
7,267,late,4,700,1200,higher,5,1
7,75,late,6,700,1317,higher,5,1
7,111,late,4,700,1238,higher,6,1
7,228,early,6,700,1200,lower,4,1
7,10,late,6,700,1277,higher,5,1
7,253,late,4,700,1358,lower,5,1
7,16,early,5,700,1358,higher,4,1
7,15,early,4,700,1358,higher,5,1
7,45,late,6,700,1317,lower,5,1
7,207,late,4,700,1358,lower,5,1
7,253,late,5,700,1238,higher,4,1
7,16,late,5,700,1200,lower,4,1
7,2,early,5,700,1317,higher,6,1
7,15,early,5,700,1317,higher,4,1
7,12,late,4,700,1317,higher,6,1
7,138,late,4,700,1238,lower,5,1
7,111,late,4,700,1358,higher,6,1
7,15,late,5,700,1200,lower,6,1
7,41,early,6,700,1358,higher,4,1
7,53,late,6,700,1277,higher,4,1
7,203,early,6,700,1238,higher,4,1
7,195,early,4,700,1238,higher,5,1
7,218,late,6,700,1317,lower,5,1
7,127,early,5,700,1358,higher,6,1
7,267,early,5,700,1238,higher,6,1
7,138,early,5,700,1317,lower,4,1
7,7,late,4,700,1277,lower,6,1
7,49,early,4,700,1317,higher,5,1
7,207,late,5,700,1238,higher,6,1
7,35,early,4,700,1358,higher,6,1
7,151,late,4,700,1358,higher,6,1
7,15,late,4,700,1317,lower,6,1
7,175,early,4,700,1200,higher,6,1
7,3,late,5,700,1200,lower,4,1
7,5,late,6,700,1277,higher,4,1
7,164,late,5,700,1238,higher,4,1
7,107,late,5,700,1238,higher,4,1
7,45,late,5,700,1358,lower,6,1
7,19,late,5,700,1200,lower,6,1
7,82,early,4,700,1277,higher,6,1
7,35,early,4,700,1200,lower,6,1
7,107,late,6,700,1238,lower,5,1
7,196,early,4,700,1358,higher,5,1
7,45,late,6,700,1238,higher,4,1
7,6,late,6,700,1238,lower,4,1
7,17,late,4,700,1317,higher,5,1
7,151,early,4,700,1238,lower,6,1
7,124,late,5,700,1238,lower,4,1
7,39,late,4,700,1200,lower,6,1
7,179,late,4,700,1238,lower,6,1
7,175,early,6,700,1238,lower,4,1
7,203,early,6,700,1200,lower,4,1
7,4,early,5,700,1358,higher,6,1
7,90,late,6,700,1277,lower,5,1
7,98,early,5,700,1200,higher,4,1
7,39,late,5,700,1358,higher,4,1
7,49,late,6,700,1277,lower,5,1
7,138,early,4,700,1317,lower,5,1
7,2,late,4,700,1200,lower,5,1
7,53,late,4,700,1200,lower,5,1
