NO_TONES,DEV,DEV_TYPE,DEV_LOC,ISI,FREQ,FREQ_TYPE,FREQ_LOC,RUN_NO
7,98,late,5,700,1358,higher,6,1
7,285,early,5,700,1277,higher,6,1
7,17,late,4,700,0,standard,0,1
7,53,late,6,700,1358,higher,4,1
7,27,early,4,700,1358,lower,5,1
7,90,early,4,700,1200,higher,5,1
7,2,early,6,700,1200,lower,4,1
7,9,early,4,700,1200,lower,6,1
7,16,late,5,700,0,standard,0,1
7,138,late,6,700,1238,lower,4,1
7,90,late,4,700,1200,higher,6,1
7,53,late,4,700,1238,higher,6,1
7,188,early,5,700,1238,lower,4,1
7,151,early,4,700,1317,lower,6,1
7,2,late,4,700,1317,lower,6,1
7,162,late,4,700,0,standard,0,1
7,10,early,4,700,1277,higher,6,1
7,22,early,5,700,1238,higher,6,1
7,64,early,6,700,1358,lower,5,1
7,0,on_time,0,700,1200,lower,5,1
7,15,early,5,700,1358,lower,4,1
7,7,early,5,700,1277,lower,4,1
7,51,late,5,700,1238,lower,4,1
7,17,early,6,700,1317,higher,5,1
7,138,early,5,700,1238,lower,4,1
7,9,late,4,700,1317,higher,5,1
7,202,early,5,700,1200,lower,4,1
7,25,early,4,700,1277,higher,6,1
7,63,early,4,700,1238,higher,5,1
7,90,late,6,700,1358,lower,5,1
7,75,late,6,700,1200,lower,5,1
7,2,late,5,700,1277,higher,4,1
7,2,early,4,700,1277,lower,6,1
7,116,late,5,700,1317,higher,4,1
7,49,late,6,700,1358,lower,4,1
7,179,late,4,700,1238,lower,6,1
7,15,early,5,700,1317,lower,6,1
7,6,late,6,700,1200,lower,5,1
7,32,late,5,700,1277,lower,6,1
7,199,early,5,700,1317,lower,6,1
7,199,early,4,700,1358,lower,5,1
7,35,early,6,700,1277,higher,5,1
7,72,early,6,700,0,standard,0,1
7,84,early,4,700,1358,higher,6,1
7,32,early,6,700,1277,higher,5,1
7,9,late,5,700,1317,lower,6,1
7,12,early,6,700,1238,lower,4,1
7,10,early,6,700,1358,higher,4,1
7,195,early,4,700,1238,lower,6,1
7,19,early,5,700,1238,higher,4,1
7,32,early,6,700,1317,lower,5,1
7,53,late,6,700,1238,lower,5,1
7,2,late,5,700,1358,higher,6,1
7,195,late,4,700,1358,higher,5,1
7,41,late,6,700,1277,higher,4,1
7,179,late,5,700,0,standard,0,1
7,213,early,6,700,1200,higher,4,1
7,82,early,5,700,1358,higher,6,1
7,195,late,6,700,1358,higher,5,1
7,4,early,5,700,1200,higher,4,1
7,151,late,4,700,1238,higher,5,1
7,253,early,6,700,1238,higher,4,1
7,4,early,6,700,1238,lower,5,1
7,73,early,4,700,1238,higher,5,1
7,116,early,4,700,1358,lower,6,1
7,193,early,5,700,1277,higher,4,1
7,29,early,5,700,1317,higher,4,1
7,244,early,5,700,1317,higher,6,1
7,25,early,5,700,1317,lower,6,1
7,53,late,6,700,1200,lower,4,1
7,38,early,5,700,1358,higher,4,1
7,244,late,4,700,1200,lower,6,1
7,107,early,4,700,1317,lower,5,1
7,276,early,5,700,1238,lower,6,1
7,49,early,6,700,1238,higher,4,1
7,51,late,6,700,1238,lower,4,1
7,195,late,5,700,1317,lower,4,1
7,58,late,5,700,1358,higher,6,1
7,0,on_time,0,700,1277,lower,5,1
7,12,late,5,700,1238,lower,4,1
7,193,late,4,700,1200,lower,6,1
7,1,late,4,700,1358,higher,5,1
7,213,late,6,700,1277,higher,5,1
7,3,early,4,700,1238,lower,5,1
7,3,late,5,700,1200,lower,4,1
7,1,early,5,700,1200,lower,6,1
7,90,early,6,700,1277,higher,4,1
7,64,late,6,700,0,standard,0,1
7,8,late,5,700,1358,lower,6,1
7,6,early,5,700,1317,lower,6,1
7,53,early,4,700,1200,lower,6,1
7,138,late,6,700,1200,lower,5,1
7,45,late,6,700,1238,higher,5,1
7,53,late,5,700,1277,lower,4,1
7,53,late,4,700,1277,higher,6,1
7,253,late,4,700,1277,lower,5,1
7,4,early,6,700,1358,lower,4,1
7,72,late,5,700,1238,lower,4,1
7,202,late,4,700,1358,higher,6,1
7,213,late,5,700,1317,lower,6,1
7,8,late,4,700,1200,higher,5,1
7,16,late,5,700,1358,higher,4,1
7,138,early,4,700,1317,higher,6,1
7,2,late,4,700,0,standard,0,1
7,164,early,6,700,1238,lower,5,1
7,53,late,6,700,1358,lower,4,1
7,10,late,4,700,1200,lower,5,1
7,10,late,4,700,1238,higher,5,1
7,27,late,4,700,1358,lower,6,1
7,9,late,5,700,1317,higher,4,1
7,5,early,6,700,1200,higher,5,1
7,0,on_time,0,700,1358,lower,5,1
7,35,early,6,700,1358,lower,5,1
7,188,late,6,700,0,standard,0,1
7,9,early,5,700,1238,lower,4,1
7,98,early,6,700,1317,lower,4,1
7,253,early,4,700,1317,lower,6,1
7,13,early,4,700,1200,lower,6,1
7,75,late,5,700,1317,lower,4,1
7,35,late,5,700,1277,lower,6,1
7,0,on_time,0,700,1277,higher,6,1
7,53,late,5,700,1200,lower,6,1
7,244,late,5,700,1200,lower,6,1
7,25,early,6,700,1200,higher,5,1
7,151,late,6,700,1277,lower,4,1
7,19,early,6,700,1238,lower,5,1
7,75,early,6,700,1358,higher,4,1
7,51,early,6,700,1317,higher,4,1
7,53,late,6,700,1200,higher,5,1
7,188,early,6,700,1238,higher,5,1
7,38,early,6,700,1317,higher,5,1
7,17,early,6,700,1200,higher,4,1
7,285,late,4,700,1200,lower,6,2
7,17,early,5,700,1238,lower,6,2
7,64,early,4,700,1317,lower,5,2
7,25,late,4,700,1277,higher,6,2
7,51,early,5,700,1317,higher,6,2
7,5,late,6,700,1358,lower,5,2
7,202,late,4,700,1358,higher,6,2
7,151,late,4,700,1200,higher,5,2
7,4,late,6,700,1317,higher,4,2
7,300,late,4,700,0,standard,0,2
7,22,late,6,700,1317,lower,4,2
7,35,early,6,700,1277,higher,4,2
7,22,late,6,700,1317,higher,5,2
7,179,early,4,700,0,standard,0,2
7,63,late,5,700,1358,higher,6,2
7,253,early,6,700,1317,higher,4,2
7,21,late,6,700,1200,lower,5,2
7,73,early,4,700,1317,lower,5,2
7,212,late,6,700,1317,higher,4,2
7,10,late,6,700,0,standard,0,2
7,72,early,4,700,1200,higher,6,2
7,188,early,4,700,1200,higher,5,2
7,127,early,6,700,1358,higher,4,2
7,63,late,4,700,1238,higher,6,2
7,19,late,5,700,1277,higher,6,2
7,38,early,4,700,1358,higher,5,2
7,53,late,5,700,1317,lower,6,2
7,73,late,5,700,1200,higher,6,2
7,69,late,5,700,0,standard,0,2
7,98,late,4,700,1200,higher,5,2
7,22,early,4,700,1317,lower,5,2
7,58,late,4,700,1317,lower,6,2
7,151,late,4,700,1238,lower,6,2
7,179,late,6,700,1317,higher,5,2
7,29,early,6,700,1238,lower,5,2
7,127,late,6,700,1358,lower,5,2
7,107,late,4,700,1358,lower,6,2
7,202,early,6,700,1358,lower,4,2
7,19,early,4,700,1277,lower,6,2
7,35,late,4,700,1277,lower,6,2
7,15,early,4,700,1238,lower,5,2
7,73,early,4,700,1238,lower,5,2
7,75,late,5,700,1238,higher,4,2
7,49,late,4,700,1317,lower,5,2
7,6,early,5,700,1238,higher,6,2
7,29,late,6,700,1317,higher,5,2
7,285,early,5,700,1317,higher,4,2
7,69,late,6,700,1277,higher,4,2
7,3,late,5,700,1317,higher,4,2
