NO_TONES,DEV,DEV_TYPE,DEV_LOC,ISI,FREQ,FREQ_TYPE,FREQ_LOC,RUN_NO
7,179,early,4,700,1277,lower,5,1
7,98,late,5,700,1238,higher,4,1
7,195,early,6,700,1277,lower,5,1
7,164,early,5,700,1200,higher,4,1
7,19,early,5,700,1358,lower,4,1
7,38,early,6,700,0,standard,0,1
7,259,early,6,700,1277,higher,5,1
7,15,late,4,700,1358,lower,6,1
7,213,late,6,700,1358,higher,5,1
7,158,early,6,700,1238,higher,4,1
7,1,late,4,700,1317,higher,5,1
7,19,early,5,700,1200,lower,6,1
7,49,early,5,700,1200,higher,4,1
7,182,early,5,700,1358,higher,6,1
7,107,late,4,700,1317,lower,5,1
7,2,late,5,700,1358,lower,4,1
7,297,late,5,700,1238,higher,6,1
7,138,late,5,700,1238,higher,6,1
7,151,early,6,700,1277,higher,4,1
7,58,early,5,700,1317,higher,4,1
7,151,late,5,700,1317,higher,4,1
7,224,late,5,700,1238,higher,4,1
7,3,early,5,700,1317,lower,4,1
7,21,late,6,700,1200,lower,5,1
7,15,late,6,700,1317,higher,5,1
7,8,early,6,700,1238,lower,4,1
7,269,late,6,700,1358,lower,4,1
7,84,late,6,700,1317,higher,5,1
7,10,late,6,700,0,standard,0,1
7,4,early,6,700,0,standard,0,1
7,109,early,6,700,1277,lower,5,1
7,149,late,4,700,1277,lower,6,1
7,7,late,6,700,1277,lower,5,1
7,53,late,6,700,1358,higher,4,1
7,21,late,5,700,1277,higher,6,1
7,19,early,6,700,1277,lower,5,1
7,2,late,5,700,1277,lower,6,1
7,149,late,4,700,1200,higher,5,1
7,284,early,6,700,1200,lower,5,1
7,149,late,6,700,1317,higher,4,1
7,38,late,4,700,1277,lower,5,1
7,269,late,5,700,1277,higher,6,1
7,109,early,6,700,0,standard,0,1
7,98,early,6,700,1200,higher,4,1
7,29,early,6,700,1200,lower,5,1
7,14,late,4,700,1200,higher,6,1
7,10,early,6,700,1317,lower,4,1
7,7,late,6,700,1277,higher,5,1
7,5,late,4,700,1277,lower,5,1
7,232,early,4,700,1277,lower,6,1
7,253,early,6,700,1358,lower,5,1
7,90,late,5,700,1238,higher,4,1
7,17,early,5,700,1200,lower,6,1
7,17,early,6,700,1238,higher,5,1
7,75,late,6,700,1238,lower,4,1
7,259,early,4,700,1238,lower,5,1
