NO_TONES,DEV,DEV_TYPE,DEV_LOC,ISI,FREQ,FREQ_TYPE,FREQ_LOC,RUN_NO
7,98,late,5,700,1238,higher,6,1
7,151,late,6,700,1277,higher,4,1
7,274,early,5,700,1277,lower,6,1
7,9,late,4,700,1200,higher,6,1
7,45,late,4,700,1200,lower,6,1
7,3,early,4,700,1200,higher,6,1
7,213,late,5,700,1317,higher,4,1
7,116,early,5,700,1358,lower,6,1
7,1,early,6,700,1238,lower,5,1
7,6,late,4,700,0,standard,0,1
7,38,late,5,700,1317,higher,6,1
7,16,late,5,700,1358,higher,6,1
7,16,early,4,700,1200,higher,6,1
7,2,late,6,700,1200,higher,4,1
7,41,late,6,700,1277,higher,4,1
7,151,early,4,700,1277,lower,5,1
7,1,early,4,700,1277,lower,6,1
7,75,early,6,700,1200,lower,5,1
7,75,early,5,700,1238,lower,6,1
7,63,early,6,700,1238,lower,4,1
7,253,early,4,700,1317,lower,6,1
7,138,late,4,700,1277,higher,6,1
7,121,late,5,700,1358,lower,6,1
7,266,early,6,700,1238,lower,4,1
7,127,late,4,700,1358,lower,6,1
7,98,late,4,700,1200,lower,6,1
7,98,early,5,700,1238,higher,6,1
7,164,late,5,700,1238,higher,6,1
7,126,early,4,700,1238,higher,6,1
7,35,early,6,700,1200,lower,5,1
7,98,late,6,700,1238,higher,4,1
7,21,early,5,700,1358,lower,6,1
7,127,late,6,700,1277,lower,5,1
7,230,late,6,700,1358,higher,5,1
7,27,early,5,700,1238,higher,6,1
7,2,late,6,700,1200,lower,4,1
7,27,late,5,700,1200,higher,6,1
7,110,early,5,700,1277,lower,6,1
7,110,late,4,700,1358,higher,6,1
7,10,late,6,700,1277,lower,4,1
7,78,early,6,700,1317,higher,5,1
7,110,early,5,700,1317,lower,6,1
7,41,late,4,700,1200,higher,6,1
7,41,late,4,700,1317,lower,5,1
7,126,early,5,700,1200,lower,6,1
7,41,early,4,700,1200,higher,5,1
7,126,early,5,700,1200,lower,4,1
7,2,late,5,700,1358,lower,6,1
7,232,late,5,700,1200,higher,4,1
7,272,early,4,700,0,standard,0,1
7,127,early,4,700,1200,higher,5,1
7,82,early,4,700,1317,higher,6,1
7,90,early,6,700,1238,lower,4,1
7,171,early,4,700,1358,lower,6,1
7,49,late,4,700,0,standard,0,1
7,1,late,6,700,1277,higher,4,1
7,151,early,6,700,1277,higher,4,1
7,49,early,4,700,1317,lower,6,1
7,8,early,6,700,1277,higher,4,1
7,8,late,4,700,1277,lower,5,1
7,164,early,4,700,1277,higher,5,1
7,274,early,5,700,1358,higher,4,1
7,49,late,5,700,1358,lower,6,1
7,19,early,6,700,1277,higher,4,1
7,107,late,4,700,1277,lower,6,1
7,69,late,6,700,1238,higher,5,1
7,276,early,6,700,1238,higher,4,1
7,107,early,5,700,1358,higher,6,1
7,11,early,4,700,1358,higher,5,1
7,41,late,6,700,1317,lower,4,1
7,69,early,4,700,1358,lower,6,1
7,69,late,4,700,1277,lower,6,1
7,29,early,5,700,1238,higher,4,1
7,29,late,6,700,1238,lower,5,1
7,10,late,5,700,1358,higher,4,1
7,111,late,6,700,1317,lower,4,1
7,138,late,5,700,1277,higher,4,1
7,116,early,4,700,1358,higher,5,1
7,1,early,5,700,1200,lower,6,1
7,25,late,5,700,1200,higher,4,1
7,121,early,5,700,1317,higher,4,1
7,49,late,6,700,1358,higher,4,1
7,274,late,4,700,1358,lower,6,1
7,164,late,4,700,1358,lower,6,1
7,111,early,5,700,1200,higher,4,1
7,79,late,6,700,1317,higher,5,1
7,232,early,4,700,1238,higher,5,1
7,15,early,6,700,1358,lower,5,1
7,272,early,4,700,1358,higher,6,1
7,274,late,4,700,1317,lower,6,1
7,32,early,4,700,1277,higher,6,1
7,230,early,6,700,1317,lower,4,1
7,5,early,5,700,0,standard,0,1
7,25,late,4,700,1200,higher,6,1
7,1,early,4,700,1200,lower,6,1
7,164,early,4,700,0,standard,0,1
7,3,early,4,700,1277,higher,5,1
7,138,early,4,700,1200,higher,5,1
7,4,early,4,700,1277,lower,6,1
7,63,early,4,700,1238,lower,6,1
7,110,early,6,700,1277,lower,4,1
7,230,early,5,700,1200,lower,6,1
7,232,early,6,700,1238,higher,5,1
7,126,late,6,700,1200,lower,4,1
7,19,late,4,700,1358,higher,6,1
7,274,early,4,700,1238,lower,6,1
7,289,early,6,700,1200,lower,4,1
7,63,early,6,700,1317,higher,4,1
7,10,early,6,700,1238,lower,4,1
7,17,early,4,700,1200,higher,6,1
7,274,late,5,700,1358,lower,4,1
7,111,late,5,700,1238,lower,4,1
7,7,late,6,700,1358,lower,4,1
